,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
3566,3566,F32982,5930.0,E,4.0,2020-09-30 17:36:49.673,2020-09-30,2020-03-30 00:00:00,2020-12-04,,34500.0,0.0,0.0
3649,3649,F33065,2325.0,E,4.0,2020-10-09 10:07:47.427,2020-10-09,2020-10-06 00:00:00,2020-10-09,,2000.0,0.0,0.0
3650,3650,F33066,2325.0,E,4.0,2020-10-09 10:10:03.117,2020-10-09,2020-10-02 00:00:00,2020-10-09,,1600.0000000000002,0.0,0.0
3666,3666,F33082,3930.0,E,4.0,2020-10-12 10:21:29.890,2020-10-12,2020-09-30 00:00:00,2020-11-11,,28305.000000000004,0.0,0.0
3672,3672,F33088,2325.0,E,4.0,2020-10-13 08:55:37.957,2020-10-13,2020-10-08 00:00:00,2020-10-13,,4210.0,0.0,0.0
3673,3673,F33089,3722.0,E,4.0,2020-10-13 08:58:15.100,2020-10-13,2020-10-12 00:00:00,2020-10-13,,7120.0,0.0,0.0
3719,3719,F33135,3930.0,E,4.0,2020-10-15 11:29:14.313,2020-10-15,2020-10-12 00:00:00,2020-11-14,,28305.000000000004,0.0,0.0
3741,3741,F33157,2547.0,E,4.0,2020-10-19 10:29:02.107,2020-10-19,2020-10-12 00:00:00,2020-10-19,,1970.0,0.0,0.0
3743,3743,F33159,3228.0,E,4.0,2020-10-19 10:57:47.687,2020-10-19,2020-10-15 00:00:00,2020-10-19,,19986.0,0.0,0.0
3761,3761,F33177,5930.0,E,4.0,2020-10-20 10:18:05.610,2020-10-20,2020-10-07 00:00:00,2020-12-24,,4350.0,0.0,0.0
3810,3810,F33226,5930.0,E,4.0,2020-10-23 09:45:25.407,2020-10-23,2020-10-23 00:00:00,2020-12-27,,18500.0,0.0,0.0
3811,3811,F33227,5287.0,E,4.0,2020-10-23 10:41:23.327,2020-10-23,2020-10-23 00:00:00,2020-11-22,,400.0,0.0,0.0
3813,3813,F33229,5930.0,E,4.0,2020-10-23 17:53:48.860,2020-10-23,2020-10-21 00:00:00,2020-12-27,,27600.000000000004,0.0,0.0
3828,3828,F33244,4486.0,E,4.0,2020-10-27 11:56:44.590,2020-10-27,2020-10-26 00:00:00,2020-10-27,,1350.0,0.0,0.0
3841,3841,F33257,6253.0,E,4.0,2020-10-28 10:22:16.217,2020-10-28,2020-10-28 00:00:00,2020-11-05,,7500.000000000001,0.0,0.0
